source_id,title,authors,year,venue,bibtex_key,doi,arxiv_id,url,source_type,pilot_group,intended_channel_hints,intended_bottleneck_hints,priority,notes
beckmann_de_gaay_fortman_2023_fourier,Integral Fourier transform methods for abelian varieties,Thorsten Beckmann; Anton de Gaay Fortman,2023,,BeckmannDeGaayFortman2023,,,,paper,abelian_matroidal,"abelian_variety_channel, boundary_behavior",none,2,Abelian-variety Fourier-transform anchor.
engel_de_gaay_fortman_schreieder_2025_matroidal,Matroidal parity and abelian-variety degeneration mechanisms,Engel; Anton de Gaay Fortman; Schreieder,2025,,EngelDeGaayFortmanSchreieder2025,,,,paper,abelian_matroidal,"matroidal_parity, abelian_variety_channel, degeneration_combinatorics",none,1,Matroidal/parity mechanism anchor.
engel_de_gaay_fortman_schreieder_2025_survey,Survey on matroidal parity and abelian-variety IHC phenomena,Engel; Anton de Gaay Fortman; Schreieder,2025,,EngelDeGaayFortmanSchreiederSurvey2025,,,,survey,abelian_matroidal,"matroidal_parity, abelian_variety_channel",verify_theorem_statement,2,Survey/context source for matroidal channel.
voisin_2006_positive_boundary,On integral Hodge classes on uniruled or Calabi--Yau threefolds,Claire Voisin,2006,,Voisin2006,,,,paper,positive_boundary,"boundary_behavior, channel_calibration",none,2,Positive/boundary calibration source.
totaro_2020_positive_boundary,Integral Hodge classes and boundary phenomena around Kodaira dimension zero,Burt Totaro,2020,,Totaro2020,,,,paper,positive_boundary,boundary_behavior,none,2,Boundary comparison source.
goresky_macpherson_intersection_homology,Intersection homology theory,Mark Goresky; Robert MacPherson,1980,,GoreskyMacPherson1980,,,,paper,local_singularity_perverse,"local_discriminant, motivic_realization",verify_theorem_statement,3,Background for stratified/perverse local package language.
bbd_decomposition_theorem,Faisceaux pervers,Alexander Beilinson; Joseph Bernstein; Pierre Deligne,1982,,BBD1982,,,,paper,local_singularity_perverse,"motivic_realization, local_discriminant",verify_theorem_statement,3,Background perverse-sheaf source.
goresky_siegel_l2_cohomology,Linking pairings on singular spaces,Mark Goresky; Paul Siegel,1983,,GoreskySiegel1983,,,,paper,local_singularity_perverse,local_discriminant,lattice_identification,3,Background for linking pairings and local torsion packages.
nikulin_integral_symmetric_forms,Integral symmetric bilinear forms and their applications,Vyacheslav Nikulin,1980,,Nikulin1980,,,,paper,local_singularity_perverse,"local_discriminant, lattice_saturation",lattice_identification,2,Lattice/discriminant-form background source.
milnor_singular_points,Singular Points of Complex Hypersurfaces,John Milnor,1968,,Milnor1968,,,,book,local_singularity_perverse,local_discriminant,global_transport_survival,2,Milnor fiber/link background for local singularity channels.
friedman_1986_nodal_threefolds,Simultaneous resolution of threefold double points,Robert Friedman,1986,,Friedman1986,,,,paper,local_singularity_perverse,nodal_free_relation,global_relation_rank,1,Nodal free-relation calibration source.
jung_saito_mixed_hodge_modules,Singularity and mixed-Hodge-module methods for local Hodge phenomena,Jung; Saito,,,JungSaito,,,,paper,local_singularity_perverse,"local_discriminant, motivic_realization",verify_theorem_statement,2,Pilot metadata only; verify exact bibliographic details before citation.
dimca_sheaves_topology,Sheaves in Topology,Alexandru Dimca,2004,,Dimca2004,,,,book,local_singularity_perverse,"local_discriminant, motivic_realization",verify_theorem_statement,3,Reference background for sheaf/topological methods.
kashiwara_schapira_sheaves,Sheaves on Manifolds,Masaki Kashiwara; Pierre Schapira,1990,,KashiwaraSchapira1990,,,,book,local_singularity_perverse,motivic_realization,verify_theorem_statement,3,Sheaf-theoretic background source.
perry_2022_cy2_ihc,Categorical integral Hodge framework for two-dimensional Calabi--Yau categories,Alexander Perry,2022,,Perry2022CY2IHC,,,,paper,categorical_motivic,"categorical_ihc, motivic_realization",none,2,Categorical/motivic anchor for future expansion.
totaro_1999_chow_ring_classifying_space,The Chow ring of a classifying space,Burt Totaro,1999,,Totaro1999ChowRingClassifyingSpace,,,,paper,stacky_finite_group,"stacky_stabilizer, torsion_cohomology_operation","stacky_realization, verify_theorem_statement",2,Pilot source for classifying-space and finite-group approximation methods relevant to future stacky stabilizer channels. Not entered as an IHC obstruction row.
edidin_graham_1998_equivariant_intersection_theory,Equivariant intersection theory,Dan Edidin; William Graham,1998,,EdidinGraham1998EquivariantIntersectionTheory,,,,paper,stacky_finite_group,"stacky_stabilizer, motivic_realization","stacky_realization, coarse_comparison",2,Pilot source for equivariant intersection theory and stack/coarse comparison infrastructure. Not entered as an IHC obstruction row.
vistoli_1989_intersection_theory_stacks,Intersection theory on algebraic stacks and on their moduli spaces,Angelo Vistoli,1989,,Vistoli1989IntersectionTheoryStacks,,,,paper,stacky_finite_group,"stacky_stabilizer, motivic_realization","stacky_realization, coarse_comparison",2,Pilot source for algebraic-stack intersection theory relevant to stacky stabilizer and stack-to-coarse comparison channels. Not entered as an IHC obstruction row.
